nodenumber     x-coordinate     y-coordinate     z-coordinate       wall-shear     x-wall-shear     y-wall-shear     z-wall-shear 
        46 -1.392189092E-03 -2.644313223E-03  3.222279702E-04  1.450831528E+00  2.646742701E-02 -1.419553260E-02  1.439736211E+00 
        47  2.926271339E-03 -6.555435373E-04  3.278473473E-04  1.335992084E+00  1.145867112E-02 -1.000662721E-02  1.335449936E+00 
        48  2.428355332E-03 -1.745614135E-03  3.281152404E-04  1.420089802E+00 -3.367014773E-04  1.160074448E-02  1.409290015E+00 
        49  2.832440988E-03  9.684474928E-04  3.314171591E-04  1.363265541E+00  1.004891810E-02  1.079092063E-02  1.362785787E+00 
        50 -2.397440309E-03 -1.801889982E-03  3.454419241E-04  1.291585081E+00  2.568325155E-02 -5.464605458E-02  1.287131588E+00 
        51  1.947150084E-03 -2.268320907E-03  3.470284508E-04  1.311376741E+00  3.364851664E-02  2.159057873E-02  1.309726524E+00 
        52  3.780257881E-04  2.964951656E-03  3.502391445E-04  1.358176708E+00  2.276114899E-02 -1.267980660E-02  1.351933555E+00 
        53 -2.759848249E-03 -1.146651680E-03  3.528371323E-04  1.320872210E+00  8.645373603E-03  1.155518712E-02  1.320393145E+00 
        54  2.083829979E-03  2.151730878E-03  3.540352453E-04  1.342941444E+00  1.052613619E-03 -8.155989912E-03  1.342658752E+00 
        55 -5.660659716E-05  2.988704585E-03  3.559586277E-04  1.317327961E+00 -4.670157040E-02  5.836977161E-03  1.315082968E+00 
        56  1.145852859E-03  2.770714891E-03  3.620481067E-04  1.272426632E+00 -2.850951600E-02  1.224133868E-02  1.270564960E+00 
        57 -2.943276545E-03 -5.277444971E-04  3.708456931E-04  1.246941029E+00 -1.372079058E-02  5.036790173E-02  1.242788339E+00 
        58 -1.961445782E-03 -2.260256159E-03  3.716765819E-04  1.332981305E+00 -2.163342988E-03  1.174912491E-02  1.324597195E+00 
        59 -7.386806362E-04  2.898308176E-03  3.790351034E-04  1.258637163E+00  4.185881404E-02  2.946065821E-03  1.254531151E+00 
        60  2.270394672E-03  1.945271465E-03  3.834456686E-04  1.212615635E+00  3.357151145E-02 -4.755463352E-02  1.207042404E+00 
        61  2.914714236E-03  6.616604642E-04  3.851649348E-04  1.192076699E+00  8.575571229E-03 -2.604065824E-02  1.189870740E+00 
        62 -2.915931602E-03  6.956791016E-04  3.870640879E-04  1.206811106E+00 -1.168128628E-02 -1.469387711E-02  1.206285174E+00 
        63  1.802885141E-03  2.384116763E-03  3.894013947E-04  1.222496825E+00 -7.715196799E-03 -9.454398259E-03  1.222141352E+00 
        64 -2.740525614E-03  1.210963784E-03  3.929087408E-04  1.254789811E+00  2.224908224E-02  2.391950086E-02  1.247355756E+00 
        65  2.680286058E-03  1.343122069E-03  3.981156538E-04  1.166974831E+00 -3.249558700E-03  2.876061284E-02  1.165406417E+00 
        66 -7.761021029E-04 -2.889719385E-03  4.006982040E-04  1.162704863E+00 -3.560447437E-02  6.859179848E-03  1.160368757E+00 
        67  1.693505606E-03 -2.465413449E-03  4.097730414E-04  1.167856285E+00 -2.076180655E-02 -5.799545449E-03  1.165306237E+00 
        68  2.798471822E-03 -1.059207251E-03  4.220082662E-04  1.109248416E+00  6.646868477E-03 -3.410335691E-02  1.107264543E+00 
        69  1.035273482E-03 -2.805019750E-03  4.292521979E-04  1.165546621E+00  3.991554272E-02  2.116733813E-02  1.161745125E+00 
        70 -2.983558796E-03  2.424608584E-04  4.318036642E-04  1.089146073E+00 -1.301867807E-02 -3.929065814E-02  1.085876671E+00 
        71 -1.109960609E-03  2.775041235E-03  4.375318497E-04  1.121274838E+00 -7.729934708E-03 -7.064339333E-03  1.120991632E+00 
        72 -1.141109640E-03 -2.771844996E-03  4.418550046E-04  1.072638278E+00  1.409770427E-02 -1.318596527E-02  1.062470983E+00 
        73 -1.513635469E-03  2.578590992E-03  4.504439747E-04  1.062308839E+00 -4.667930119E-03  1.528652314E-02  1.061481276E+00 
        74 -2.591167096E-03 -1.493084025E-03  4.528341210E-04  1.091626814E+00  5.227689319E-03  2.532681565E-03  1.091192304E+00 
        75 -3.718688665E-04 -2.965414903E-03  4.534648276E-04  1.100713533E+00 -6.497794108E-03  3.572368041E-03  1.100144625E+00 
        76  2.993381642E-03 -7.466939446E-05  4.641238373E-04  1.072466700E+00 -7.426897926E-03  3.136050301E-02  1.068667500E+00 
        77 -1.921434851E-03  2.291881909E-03  4.653702599E-04  1.059476637E+00  2.150360893E-02  1.159858469E-02  1.059011851E+00 
        78 -2.195067272E-03 -2.028177119E-03  4.736878799E-04  1.002228885E+00 -1.764393693E-03 -1.200533133E-03  9.947361481E-01 
        79  6.232061682E-04 -2.922699113E-03  4.895578557E-04  1.050724027E+00  6.114287548E-03  9.189287348E-03  1.050348439E+00 
        80 -1.679051717E-03 -2.480077384E-03  5.241980802E-04  9.470950319E-01  1.195084511E-03 -6.169101451E-03  9.421550745E-01 
        81  2.474891065E-03  1.678918799E-03  5.417283435E-04  9.034408954E-01  8.860663328E-03 -1.336376369E-02  8.971978324E-01 
        82  2.208992825E-03 -2.027418948E-03  5.462241432E-04  9.237904584E-01  6.702603032E-03 -1.280530322E-03  9.194066002E-01 
        83  2.610775833E-03 -1.455796311E-03  5.468335411E-04  8.982529927E-01  1.279208817E-02  5.191137611E-03  8.922750655E-01 
        84 -2.984089516E-03 -1.760941380E-04  5.502739214E-04  9.217962903E-01 -1.186989866E-02  7.972334529E-03  9.143724227E-01 
        85 -2.257452834E-03  1.965464924E-03  5.507834219E-04  9.363485115E-01 -7.059237420E-03 -1.814898577E-02  9.338041176E-01 
        86 -3.756707489E-04  2.976140879E-03  5.676248343E-04  9.040472783E-01  4.522945195E-03  1.292067471E-02  8.991551217E-01 
        87 -2.558718803E-03  1.554373338E-03  5.691636475E-04  9.005343140E-01  5.175658513E-04  1.101052402E-02  8.915460355E-01 
        88  1.366615599E-03 -2.670462497E-03  5.804385819E-04  8.758676344E-01  9.170811115E-03 -2.614347345E-03  8.699362732E-01 
        89  1.537847294E-04 -2.984758757E-03  5.896017831E-04  9.035784644E-01 -3.001677161E-03  6.330405216E-03  9.031047428E-01 
        90  2.978892706E-03  3.200343999E-04  6.220619378E-04  8.245937444E-01  5.274775013E-03  1.887623749E-02  8.193366706E-01 
        91  8.033759380E-04  2.881314891E-03  6.369841401E-04  8.458576040E-01 -7.716308497E-03  5.166843813E-03  8.419291593E-01 
        92  2.963840387E-03 -3.847499076E-04  6.398930854E-04  7.845041587E-01 -1.842088800E-03  4.077486806E-03  7.843059405E-01 
        93  1.936707112E-03 -2.277759899E-03  7.026847339E-04  7.210321441E-01  2.617415174E-03  1.928293653E-03  7.209398653E-01 
        94  1.475688885E-03  2.600522165E-03  7.042754031E-04  7.396288447E-01 -5.153771788E-03  2.874333389E-03  7.394841288E-01 
        95 -1.380913919E-03 -2.650281078E-03  7.056014277E-04  7.184678589E-01  9.718859960E-04  1.816552580E-03  7.179749906E-01 
        96 -2.880495923E-03 -8.205224069E-04  7.128114443E-04  7.225885998E-01 -3.117685660E-04  8.291042324E-03  7.223406953E-01 
        97  2.079881528E-03  2.156101568E-03  7.284140933E-04  7.074315571E-01  8.308543948E-03 -7.133254176E-03  7.072003076E-01 
        98 -2.717072304E-03 -1.251984188E-03  7.324287465E-04  6.947107366E-01 -1.531837700E-03  3.884088789E-03  6.944120317E-01 
        99  2.837449209E-03  9.561146952E-04  7.365089409E-04  6.887129968E-01  1.347571678E-03 -6.567212267E-03  6.884647509E-01 
       100 -2.403263445E-03 -1.792606677E-03  7.452642080E-04  6.858363614E-01  4.107006804E-03 -4.327701554E-03  6.857003214E-01 
       101 -1.944517347E-03 -2.273432601E-03  7.519747972E-04  6.653230091E-01 -3.221112214E-03  2.713619524E-03  6.651365685E-01 
       102  2.424596186E-03 -1.750446522E-03  7.644818192E-04  6.515431803E-01  4.420337328E-03  3.767238860E-03  6.508917243E-01 
       103 -1.043596436E-03 -2.803334369E-03  7.965595504E-04  6.478570384E-01 -9.218401453E-03  8.694044000E-03  6.475044492E-01 
       104  2.927605768E-03  6.015381503E-04  8.034715438E-04  6.318928029E-01  1.814002667E-03  9.596354918E-04  6.315774436E-01 
       105 -2.948390862E-03  4.959952173E-04  8.231189642E-04  6.219199051E-01  8.072207460E-04 -2.486448868E-03  6.216538971E-01 
       106  2.746513974E-03 -1.199421701E-03  8.290872968E-04  6.107381540E-01  1.541272371E-04 -5.717772803E-03  6.104312392E-01 
       107  5.452198794E-05  2.992785358E-03  8.449181720E-04  6.147742723E-01  7.629276816E-03  1.827694523E-03  6.144929737E-01 
       108 -2.850269215E-03  8.989838789E-04  8.535227585E-04  6.067475338E-01  1.179493124E-03  5.791048548E-03  6.064235003E-01 
       109  9.890037053E-04 -2.823811665E-03  8.562089611E-04  6.188724526E-01  5.552008041E-03 -1.785509279E-03  6.186511618E-01 
       110 -6.772499406E-04 -2.921641965E-03  8.613754920E-04  6.014361013E-01 -3.438263134E-03 -6.361476709E-04  6.012904166E-01 
       111  4.771173227E-04  2.951206347E-03  8.744878588E-04  5.951181775E-01 -7.186325325E-05  3.954744985E-03  5.945657450E-01 
       112 -1.639471013E-03  2.499648928E-03  8.889109318E-04  5.756026497E-01 -3.948277248E-03  3.943254369E-03  5.754298710E-01 
       113 -2.991798543E-03  3.395201800E-05  8.983964155E-04  5.929501283E-01 -1.252351901E-03 -3.429679222E-03  5.927492891E-01 
       114  2.904160399E-03 -7.319506754E-04  9.041384292E-04  5.955217582E-01 -8.603072605E-04  6.754938426E-04  5.953186352E-01 
       115 -2.461233703E-04 -2.982861184E-03  9.178114373E-04  5.660454715E-01  3.460274647E-03 -5.187965456E-03  5.658095486E-01 
       116 -8.414278430E-04  2.876281398E-03  9.267623865E-04  5.884830115E-01 -1.070123081E-03  2.471995000E-04  5.883820916E-01 
       117 -2.967441938E-03 -4.150412876E-04  9.271714532E-04  5.765330286E-01 -1.502392963E-03  7.314962494E-04  5.764007551E-01 
       118  2.306642403E-03  1.905158968E-03  9.290307009E-04  5.796064525E-01  1.660582104E-03 -2.522400005E-03  5.795349209E-01 
       119 -2.568933847E-03 -1.528523160E-03  9.415933937E-04  5.560273519E-01  3.154302245E-03  5.534151193E-04  5.559310384E-01 
       120 -2.686025032E-03  1.313909951E-03  9.415900558E-04  5.690479237E-01 -4.787776566E-04  2.041441150E-04  5.687807534E-01 
       121 -1.248807251E-03  2.718650470E-03  9.438642116E-04  5.672604220E-01 -1.076263964E-03  8.373528742E-04  5.671784601E-01 
       122  2.695687422E-03  1.305196943E-03  9.450229259E-04  5.713800236E-01 -7.426523471E-04 -1.078134994E-04  5.713113281E-01 
       123 -1.920494886E-03  2.292733063E-03  9.517431115E-04  5.578960163E-01 -4.068675972E-03  4.743127991E-03  5.577213146E-01 
